divkFa,Nup,Ndown,x,scaled_E,corr_method,lsite
0.2,57,19,0.3333333333333333,0.6905954853587474,Chevy-CCD,10
0.2,57,19,0.3333333333333333,0.699315467501598,Chevy-CCD,12
0.2,19,7,0.3684210526315789,0.6731794424632254,Chevy-CCD,6
0.2,19,7,0.3684210526315789,0.6870092060690464,Chevy-CCD,8
0.2,19,7,0.3684210526315789,0.6943512863738899,Chevy-CCD,10
0.2,19,7,0.3684210526315789,0.698871171781937,Chevy-CCD,12
0.2,57,27,0.47368421052631576,0.588980860425147,Chevy-CCD,6
0.2,57,27,0.47368421052631576,0.6169694585910813,Chevy-CCD,8
0.2,57,27,0.47368421052631576,0.6361385572505207,Chevy-CCD,10
0.2,57,27,0.47368421052631576,0.6479200021843697,Chevy-CCD,12
0.2,33,19,0.5757575757575758,0.5909709061811055,Chevy-CCD,6
0.2,33,19,0.5757575757575758,0.6166779333559637,Chevy-CCD,8
